fromNode,toNode,value,interaction_type,selfLoop,label,guid
Q6NLT2,AT4G06115,0.960217576056164,Very Strong,False,AT4G06115 - Q6NLT2,193
Q6R0H1,Q9LJR3,0.975349867230243,Very Strong,False,Q6R0H1 - Q9LJR3,194
Q700C7,A0A178VRB0,0.95282685517242,Very Strong,False,A0A178VRB0 - Q700C7,195
Q7EB72,Q5XEP9,0.963365151898078,Very Strong,False,Q5XEP9 - Q7EB72,196
Q7EB72,Q94AX3,0.987365050116143,Very Strong,False,Q7EB72 - Q94AX3,197
Q7EB72,A0A384LPV1,0.977159252591357,Very Strong,False,A0A384LPV1 - Q7EB72,198
Q7EB72,A0A178V6B8,0.976450072545472,Very Strong,False,A0A178V6B8 - Q7EB72,199
O82480,O81804,0.950239944520354,Very Strong,False,O81804 - O82480,2
P25071,Q9FPH0,0.987500264107253,Very Strong,False,P25071 - Q9FPH0,20
Q7Y1C5,A0A1P8B7H9,0.958594485753217,Very Strong,False,A0A1P8B7H9 - Q7Y1C5,200
Q7Y1C5,Q9SU98,0.960216989452932,Very Strong,False,Q7Y1C5 - Q9SU98,201
Q84JJ0,Q9SJQ1,0.953406944148944,Very Strong,False,Q84JJ0 - Q9SJQ1,202
Q84VY3,O82615,0.955032450525573,Very Strong,False,O82615 - Q84VY3,203
Q84VY3,Q9LK31,0.977213293289013,Very Strong,False,Q84VY3 - Q9LK31,204
Q84VY3,A0A384KQJ0,0.96932624524145,Very Strong,False,A0A384KQJ0 - Q84VY3,205
Q8GW83,AT1G11175,0.960611433666338,Very Strong,False,AT1G11175 - Q8GW83,206
A0A1I9LRZ7,AT3G07935,0.957290752029432,Very Strong,False,A0A1I9LRZ7 - AT3G07935,207
A0A1I9LRZ7,O49644,0.96157313958058,Very Strong,False,A0A1I9LRZ7 - O49644,208
A0A1I9LRZ7,O65924,0.971897321571578,Very Strong,False,A0A1I9LRZ7 - O65924,209
P25071,Q9LDM5,0.971855520648855,Very Strong,False,P25071 - Q9LDM5,21
Q8GXT1,Q39070,0.977151136199566,Very Strong,False,Q39070 - Q8GXT1,210
Q8GXT1,A0A1P8B7H9,0.962432515909705,Very Strong,False,A0A1P8B7H9 - Q8GXT1,211
Q8GXT1,Q9SU98,0.956936257505444,Very Strong,False,Q8GXT1 - Q9SU98,212
Q8GXT1,F4JGP4,0.962989171583131,Very Strong,False,F4JGP4 - Q8GXT1,213
Q8GXT1,F4JKA2,0.979519198624694,Very Strong,False,F4JKA2 - Q8GXT1,214
Q8GXT1,O81804,0.95941986469895,Very Strong,False,O81804 - Q8GXT1,215
Q8GYA4,P25071,0.980875441660578,Very Strong,False,P25071 - Q8GYA4,216
Q8GYA4,Q6NLT2,0.957116593379044,Very Strong,False,Q6NLT2 - Q8GYA4,217
Q8GYA4,Q8LF65,0.969626346139977,Very Strong,False,Q8GYA4 - Q8LF65,218
Q8GYA4,Q8RUI1,0.989877181095927,Very Strong,False,Q8GYA4 - Q8RUI1,219
P25071,Q9SAH7,0.961894058837697,Very Strong,False,P25071 - Q9SAH7,22
Q8GYA4,Q9FNX8,0.992227903754362,Very Strong,False,Q8GYA4 - Q9FNX8,220
