ID,FC.avg,p.value,is.DEP,log2FC,FDR,C61,C62,C63,C64,C91,C92,C93,C94
AT5G17010,1.85536888239591,0.00258286390845819,True,0.891706050401629,0.00939527372667952,714,636,481,709,311,407,346,305
AT5G17300,0.149621621621622,1.50495588790989E-06,True,-2.74060942265431,5.87878219491147E-06,204,241,603,336,2184,2446,2289,2331
AT5G17450,2.26582278481013,0.00485560187659728,True,1.18003502908715,0.0170540883132728,46,36,58,39,25,15,14,25
AT5G17550,0.650120096076861,0.00175772167911914,True,-0.621221844422781,0.00649585375579549,219,169,213,211,321,353,303,272
AT5G17810,2.29411764705882,0.00135784384645055,True,1.19793937761191,0.00505953734280463,12,8,10,9,5,3,5,4
Q9FKP2,0.482479784366577,0.00159030691671513,True,-1.05145959935655,0.00589751007473687,36,40,49,54,83,116,85,87
AT5G17960,0.246073298429319,0.0136965600822889,True,-2.02283997635811,0.0442000133313915,12,10,9,16,54,74,35,28
AT5G18170,2.24298245614035,0.00385336579935092,True,1.16541833618954,0.0137496374731682,1212,898,1424,1580,591,684,557,448
AT5G18240,0.390909090909091,0.00120197872440708,True,-1.35509495882256,0.00449881964776442,32,22,61,57,126,110,93,111
F4JY12,0.65063485956137,0.00524403185996336,True,-0.620079974062217,0.0183412637388796,528,330,392,441,613,747,608,631
AT5G18560,2.32394366197183,0.00246202356307879,True,1.21657509474113,0.00897572369846833,47,46,32,40,23,9,22,17
AT5G18650,0.635624898423533,0.00406296914501358,True,-0.653752456468063,0.014453893556895,894,826,992,1199,1325,1769,1469,1590
Q8VYW2,0.215699043229975,8.52235549388958E-05,True,-2.21290831769558,0.000331207967254588,512,1156,1569,1069,3967,5026,5505,5465
Q8LBI9,0.213756613756614,0.00052325469309733,True,-2.22595903635664,0.00199374469471761,66,49,41,46,241,298,240,166
AT5G18930,1.83802816901408,0.00865164189031953,True,0.878158877065202,0.0291524935529236,63,46,78,74,41,38,27,36
AT5G19010,0.574167507568113,0.00374320557103203,True,-0.800456404879906,0.0133760647971109,696,579,709,861,1306,1490,1089,1070
Q84VZ5,2.41407678244973,0.00933511532265818,True,1.27147156337454,0.0312496063688241,778,842,393,628,235,335,291,233
AT5G19290,1.50642523364486,0.0019509314857904,True,0.591129071388067,0.00718276537353864,635,608,641,695,426,394,532,360
AT5G19310,0.602870813397129,0.0132677092913895,True,-0.730079208580966,0.0429698700956223,167,103,205,155,307,276,256,206
F4K162,0.604651162790698,0.00171839451227562,True,-0.725825036561006,0.0063553144192128,19,24,16,19,32,37,31,29
Q8VYZ3,2.07764390896921,0.000468129437641629,True,1.05494840939789,0.00178688177278047,423,326,370,433,160,211,216,160
Q7Y228,0.578542094455852,0.0105026751277606,True,-0.789506161910121,0.0347606892607548,676,423,563,592,824,1260,863,949
AT5G19970,1.82858950031626,0.00211107823369705,True,0.870731241118679,0.00774906390003518,784,731,608,768,272,416,512,381
AT5G20010,1.71381451299961,0.00141259248813874,True,0.777210974294992,0.00525782116551978,2475,2143,1901,2314,1464,1288,1424,978
AT5G20250,0.176491029929195,0.00047110524498728,True,-2.5023332338018,0.00179804031455433,1466,1423,2851,2386,8209,14605,10942,12286
AT5G20270,2.11581067472306,0.00647815172241195,True,1.08121053914467,0.0223069783229425,370,500,546,685,204,228,287,274
O82730,0.585074626865672,0.012137847759808,True,-0.773307441229926,0.0396743884703817,56,57,37,46,63,103,91,78
F4K493,0.263803680981595,0.000530047765662456,True,-1.92246339952898,0.00201917906906016,10,10,14,9,43,45,28,47
Q8GYX2,2.25,0.000299380182527287,True,1.16992500144231,0.00115173633659891,6212,5910,4700,6254,2141,2881,3027,2207
AT5G21170,0.55417661097852,0.00139796071580989,True,-0.851582271721147,0.0052044909317699,568,550,562,642,899,1247,934,1110
AT5G21940,0.401455026455026,0.00519897025139349,True,-1.31668971796539,0.0181966614315296,787,944,2274,2672,3951,5129,3550,4002
AT5G21950,0.329353233830846,0.00271149701115414,True,-1.60229237925907,0.00983811400997174,164,124,175,199,473,659,338,540
AT5G22020,2.2003659652333,0.0011824105681566,True,1.1377434929855,0.00442751375805261,1377,1109,959,1365,549,637,594,406
Q9FMQ8,3.61538461538462,0.00691457753940949,True,1.85414913353655,0.0237215635982025,13,17,8,9,3,4,4,2
AT5G22500,0.414103923647932,0.00105411351915596,True,-1.27193522253312,0.00395965764645561,184,179,189,229,448,598,458,382
AT5G22550,2.71653543307087,0.0133355980656777,True,1.44176786489337,0.0431774958350265,90,96,43,116,29,40,31,27
Q0WT24,10.3724696356275,0.000205686051590659,True,3.37468752875697,0.000794679239918714,731,734,454,643,20,49,152,26
AT5G22920,0.341586073500967,0.00571687170290214,True,-1.54967893755383,0.0198753382328598,175,187,601,803,1020,1645,1262,1243
AT5G23010,0.452915930320626,0.00950527022531578,True,-1.14268481098536,0.031754053086951,594,428,326,446,1383,929,804,845
Q9FMX8,9.4,0.000430464051203394,True,3.23266075679028,0.00164567722855732,203,177,105,173,17,17,24,12
AT5G23380,0.478947368421053,0.00116694552032048,True,-1.06206096813225,0.00437103830952448,143,99,138,166,290,344,249,257
AT5G23920,1.91885553470919,0.00547112389702042,True,0.940246099128871,0.0190751650513599,986,1083,780,1242,351,638,598,545
AT5G23980,0.0630397236614853,0.0102916072059311,True,-3.98759497910922,0.0341445769429275,14,37,3,19,72,388,335,363
AT5G24030,2.98366013071895,6.58662142789534E-05,True,1.57708320729157,0.000256298493313515,1492,1111,1503,1372,402,479,484,471
AT5G24060,0.590069284064665,0.000670072926477028,True,-0.761043733789104,0.00254213692912811,125,121,161,104,225,202,231,208
AT5G24080,3.45714285714286,0.00452988720805525,True,1.78958022032963,0.0159953617976285,25,20,38,38,7,5,11,12
AT5G24300,2.83333333333333,0.000163883642664508,True,1.50250034052918,0.0006343894887551,492,412,599,520,199,177,176,162
AT5G24380,0.506282842129312,0.00150047007165699,True,-0.981984502589859,0.00557461565767857,691,565,411,549,1085,994,976,1322
AT5G24390,0.545768566493955,0.0073226450782129,True,-0.873638789812134,0.0250212890864396,89,79,69,79,161,182,118,118
Q6LA42,0.396969696969697,0.00408415563153097,True,-1.33289921270837,0.0145247394900887,42,38,15,36,64,108,77,81
AT5G24580,0.505986696230599,0.0092020631621168,True,-0.982828641854062,0.0308403685865642,345,220,317,259,652,708,453,442
AT5G24660,10.4230769230769,0.0119385744111813,True,3.38170932321278,0.0390826902805172,201,188,82,71,6,8,19,19
AT5G24740,0.650695931477516,0.00455196492835674,True,-0.619944561680933,0.016065041447812,664,454,634,679,993,1051,864,828
AT5G24770,0.209677419354839,0.00751337174613087,True,-2.25375659224578,0.025637201749421,2,2,14,8,41,37,30,16
AT5G24780,0.24188790560472,0.000359366814226769,True,-2.04758945851826,0.00137925683757562,27,30,9,16,106,84,73,76
Q3E965,0.355555555555556,0.0104152343130905,True,-1.49185309632967,0.0345046178722789,2,4,4,6,13,14,6,12
Q94AK1,1.5985401459854,0.00238565189355189,True,0.676754976640647,0.00871584614809925,61,52,53,53,35,35,42,25
P58050,1.66497461928934,0.00573438200693199,True,0.735500185161708,0.0199261051036008,253,258,229,244,90,187,134,180
AT5G25250,0.329545454545455,0.00329627667879451,True,-1.60145062350973,0.0118593963634209,23,18,8,9,41,50,31,54
AT5G25260,0,0.00890499845288395,True,-∞,0.0299370119209841,0,0,0,0,3,4,5,1
AT5G25450,4.22352941176471,0.00040608351515159,True,2.07844909768535,0.0015543775439754,102,89,63,105,18,25,19,23
AT5G03985,3.05,0.001616609753883,True,1.60880924267552,0.00599051302049961,11,17,15,18,2,5,6,7
AT5G25460,2.51213500189609,0.0033617173453917,True,1.32891399660715,0.0120732871790158,3357,3490,2215,4187,1157,1580,1451,1086
AT5G25770,0.576404268169922,0.00305597245212308,True,-0.794847076437885,0.0110237658617226,839,632,618,774,1034,1498,1221,1214
AT5G26040,0.605485232067511,0.00801986653785791,True,-0.723836322222571,0.0272244790765964,85,80,60,62,94,142,126,112
AT5G26340,0.475428571428571,0.0146026347480355,True,-1.0726994885786,0.0468416320323183,100,109,47,160,180,291,204,200
AT5G26570,0.515689757252812,9.19259342802015E-06,True,-0.955424704202521,3.5872054217634E-05,219,213,246,193,433,402,409,445
AT5G26920,0.213872832369942,0.00936227890489327,True,-2.22517486200777,0.0313221755531153,6,18,9,4,55,44,19,55
AT5G26930,2.65,0.0145375607164173,True,1.40599235967584,0.0466591011958679,10,14,12,17,6,10,2,2
O04652,4.33333333333333,0.00301159748927859,True,2.11547721741994,0.0108762889404093,15,12,22,16,8,2,4,1
Q8LKS5,1.9152719665272,0.00494690290368216,True,0.937549267816589,0.0173551901787793,460,433,355,583,250,260,260,186
AT5G27930,2.09836065573771,0.011432615295782,True,1.06926266243711,0.0375807603630512,314,311,177,350,102,145,183,119
AT5G27950,0.648414271555996,0.00827055244807862,True,-0.625012250058322,0.0279977934963017,682,495,624,816,965,1197,938,936
AT5G28080,0.491916859122402,0.00100816691904648,True,-1.02351359450089,0.00379122104932176,55,41,60,57,103,132,94,104
AT5G04665,∞,0,True,∞,0,1,1,1,1,0,0,0,0
F4K739,0.571049136786189,0.00616049451232459,True,-0.808313205082468,0.0213116784108709,126,69,106,129,163,226,173,191
AT5G28400,0.580853816300129,0.00584177363210969,True,-0.783752969183701,0.0202704930305188,126,86,123,114,168,239,166,200
AT5G28770,0.334159438248658,0.000439263144804247,True,-1.58139147156896,0.00167875447487821,307,308,521,482,1060,1488,1234,1060
AT5G28919,0.574747096290746,0.00282529453338332,True,-0.799000822639033,0.0102260977501351,378,313,413,430,696,786,653,534
AT5G33355,0.0751436832899011,0.00620348465651133,True,-3.73420435601705,0.0214452417819989,796,417,406,486,4125,9541,4458,9889
AT5G35330,0.644660194174757,0.00390363239152669,True,-0.633389190723656,0.0139174040581152,299,223,200,274,411,427,366,341
Q9C5U2,0.643736017897092,0.0065614214270433,True,-0.635458903051087,0.0225846313977655,591,493,555,663,757,1088,854,877
A0A1P8BG62,0.546052631578947,0.00147271563000451,True,-0.872888082096661,0.00547565739720178,19,17,19,28,37,41,33,41
A0A140JWM8,0.444444444444444,0.0148137227594434,True,-1.16992500144231,0.047487628104795,3,3,3,3,9,6,4,8
AT5G36160,1.51169811320755,0.00280429853403152,True,0.596170061474784,0.0101533209735801,495,512,440,556,285,346,396,298
AT5G36870,0.32896305125149,0.0134689948939697,True,-1.60400254366165,0.0435394568409463,84,56,52,84,125,315,184,215
Q9FIW4,0.328,0.000228969828174774,True,-1.608232280044,0.000883242991772587,154,127,189,186,536,470,590,404
AT5G36930,0.582278481012658,0.00625610594420767,True,-0.78021879212009,0.0216097088275474,37,39,61,47,91,67,87,71
F4K5X6,0.0564926274194139,6.04005422411014E-06,True,-4.1457935891402,2.35780264129499E-05,343,307,437,457,6576,8072,6038,6645
AT5G37450,0.0597014925373134,0.00624762760398223,True,-4.06608919045777,0.0215847753320197,2,1,2,3,29,56,22,27
AT5G37590,0.465116279069767,0.00432123868447287,True,-1.10433665981474,0.0153090972812956,124,58,113,105,191,272,222,175
AT5G37740,2.10487169951655,0.00571993562242445,True,1.07373229784637,0.0198819553916513,1609,1477,956,1618,489,817,809,574
F4K8L8,1.85714285714286,0.000537920810947279,True,0.893084796083488,0.00204803231744368,26,23,19,23,12,14,12,11
AT5G37770,2.03426791277259,0.00923962353537755,True,1.02450969442413,0.0309541391971356,326,409,363,208,143,152,161,186
AT5G37820,6,0.000938497080246625,True,2.58496250072116,0.00353582438568395,13,15,9,17,0,3,3,3
AT5G38020,0.635416666666667,0.00922140534906268,True,-0.65422516315827,0.0308991481730646,69,70,79,87,131,103,101,145
AT5G38200,31.2857142857143,0.000203613550279647,True,4.96743213754357,0.000786760737530309,670,589,793,1014,30,19,39,10
F4KBM0,0.272727272727273,0.00624442313919604,True,-1.87446911791614,0.0215780560358179,2,2,2,3,12,8,5,8
AT5G38780,0.275862068965517,0.000503190713267987,True,-1.85798099512757,0.00191900269567985,7,8,3,6,23,27,18,19
F4KBM7,0.419263456090652,0.000387827536638907,True,-1.25407100764223,0.00148599273767862,34,45,22,47,98,90,88,77
Q940Z5,2.94545454545455,0.00887082249514282,True,1.55849028935997,0.0298382211200258,28,52,39,43,11,5,28,11
Q9FID1,3.87755102040816,0.00278400000639345,True,1.95514576421574,0.010087289363267,62,56,33,39,11,10,19,9
AT5G39220,7,0.000559976331037104,True,2.8073549220576,0.00213034744103856,6,6,5,4,2,1,0,0
Q93ZL5,0.430147870227323,0.00207582918646376,True,-1.2170954002555,0.00762212620154554,420,389,514,626,973,1453,975,1130
AT5G39720,0.292307692307692,0.00174894296326489,True,-1.77444029958487,0.00646480567562645,10,3,3,3,16,19,13,17
AT5G40780,0.261796733212341,0.00159426811862251,True,-1.93348099992568,0.00591092027705275,424,336,169,225,880,1504,982,1042
AT5G40820,0.624591947769314,0.0132504736786856,True,-0.679014124613347,0.0429221640521061,143,109,146,176,263,258,225,173
AT5G40850,1.95486111111111,0.000388420034631576,True,0.967066110637917,0.00148809652538824,2001,1681,1763,1874,857,933,1224,730
AT5G41080,0.220338983050847,0.000120357207005206,True,-2.18220333122075,0.000466849159562139,524,407,479,540,1931,2783,2119,2017
AT5G41160,1.78666666666667,0.0136862077065651,True,0.837270499961892,0.0441874150435672,32,30,29,43,13,20,26,16
AT5G41260,0.569455727051178,0.00361861251277418,True,-0.812344412473834,0.0129565160322572,617,435,487,564,903,1144,830,816
AT5G41280,0.228915662650602,0.0103961738880081,True,-2.12711191790334,0.0344581319290831,10,5,3,1,18,32,19,14
Q9FHD4,0.21656050955414,0.0056551824890525,True,-2.20715790764129,0.0196788403859351,12,6,10,6,54,49,28,26
Q9FHD3,0.0714285714285714,0.000546520854852961,True,-3.8073549220576,0.00208031302399424,6,2,5,8,68,102,54,70
AT5G41315,0.501278772378517,0.0155649173262311,True,-0.996314953192144,0.0496494923593083,70,44,38,44,124,95,108,64
Q9FN60,1.90697674418605,0.00174683660334529,True,0.931287249915986,0.00645771641171951,143,174,159,180,65,119,88,72
AT5G41570,2.12021857923497,0.00373530658741283,True,1.08421300390309,0.0133492306558818,83,112,79,114,39,43,64,37
AT5G41620,0.573795180722892,0.0040724717363485,True,-0.801392243853603,0.0144846908160254,100,72,108,101,173,198,160,133
AT5G41670,1.61315192743764,0.00820610039080139,True,0.689882318616968,0.0277960861680313,2060,1709,1545,1800,1321,1218,1169,702
AT5G41810,1.72692307692308,0.0117983430636632,True,0.788203821712693,0.038690163672208,241,223,157,277,137,147,128,108
Q2V323,1.51898734177215,0.00941552012248437,True,0.603109847431416,0.0314787812682045,69,49,67,55,37,46,41,34
Q9FJV7,0.273542600896861,1.12391781383891E-05,True,-1.87016256235742,4.38484082643463E-05,18,10,16,17,52,60,60,51
Q96242,2.09987515605493,0.000226306904047568,True,1.07030355784643,0.000873265812194818,381,448,481,372,229,193,187,192
AT5G42825,0.565462753950339,0.00756807199483545,True,-0.82249609535981,0.0258135672162322,109,122,115,155,214,281,217,174
AT5G42900,0.121951219512195,0.000146542586874521,True,-3.03562390973072,0.00056771168153492,0,2,3,5,25,18,22,17
