,FC.avg,log2FC,p.value,FDR,is.DEP,C61,C62,C63,C64,I561,I562,I563,I564
Q1G3I2, 3.4727863, 1.7960936, 0.0104469, 0.7493984,TRUE,1.01876614851459E-05,8.17084927489018E-06,6.67576902474962E-06,3.74442297001869E-06,2.70756363316051E-06,2.25702895241506E-06,2.16846666684894E-06,1.15386090995202E-06
AT4G15258, 0.3820083,-1.3883243, 0.0162796, 0.7869049,TRUE,9.52117895808025E-08,1.06114925647924E-07,3.17893763083315E-07,1.92021690770189E-07,6.31764847737452E-07,4.70214365086471E-07,4.71405797141075E-07,2.88465227488005E-07
O23401, 0.2408387,-2.0538608, 0.0106332, 0.7468745,TRUE,1.14254147496963E-06,1.48560895907094E-06,9.53681289249946E-07,1.15213014462114E-06,6.94941332511197E-06,5.92470100008953E-06,2.26274782627716E-06,4.51928856397875E-06
O81815, 0.4444378,-1.1699466, 0.0222344, 0.8482392,TRUE,1.65668513870596E-05,2.51492373785581E-05,4.07963662623588E-05,3.26436874309322E-05,4.86458932757838E-05,5.22878373976155E-05,6.30740956574758E-05,9.50973699952124E-05
P0C042,0,-∞, 0.0456038, 0.9172458,TRUE,0,0,0,0,1.805042422107E-07,0,9.42811594282149E-08,9.61550758293351E-08
Q8RXC3, 4.1783076, 2.0629187, 0.0166587, 0.7827842,TRUE,2.85635368742407E-07,1.06114925647924E-07,2.11929175388877E-07,1.92021690770189E-07,0,0,9.42811594282149E-08,9.61550758293351E-08
AT4G16355, 2.7626534, 1.4660545, 0.0020412, 0.5450928,TRUE,3.8084715832321E-07,5.30574628239622E-07,4.23858350777754E-07,4.80054226925474E-07,9.02521211053502E-08,2.82128619051882E-07,1.8856231885643E-07,9.61550758293351E-08
O49722,0,-∞, 0.0488154, 0.9108611,TRUE,0,0,0,0,0,1.88085746034588E-07,9.42811594282149E-08,9.61550758293351E-08
Q93V43, 2.1760788, 1.1217308, 0.021971, 0.8477834,TRUE,7.5217313768834E-06,7.74638957229849E-06,1.09143525325272E-05,5.3766073415653E-06,4.96386666079426E-06,3.85575779370906E-06,4.33693333369789E-06,1.34617106161069E-06
O49519, 2.156168, 1.1084696, 0.0013184, 0.4678902,TRUE,9.80681432682266E-06,9.01976868007358E-06,7.09962737552737E-06,8.54496523927343E-06,3.88084120753006E-06,5.54852950802035E-06,3.86552753655681E-06,2.69234212322138E-06
Q84JC2, 9.3902426, 3.2311624, 0.0192272, 0.820562,TRUE,1.90423579161605E-07,3.18344776943773E-07,7.41752113861069E-07,4.80054226925474E-07,9.02521211053502E-08,9.40428730172941E-08,0,0
Q9LDR8, 2.1239848, 1.0867734, 0.0077783, 0.6993251,TRUE,4.28453053113611E-06,4.7751716541566E-06,3.49683139391647E-06,3.16835789770813E-06,2.07579878542306E-06,1.78681458732859E-06,8.48530434853934E-07,2.69234212322138E-06
A0A178UXE6, 0.2920013,-1.7759534, 0.0447644, 0.9146852,TRUE,9.52117895808025E-08,0,0,2.88032536155284E-07,3.61008484421401E-07,2.82128619051882E-07,1.8856231885643E-07,4.80775379146676E-07
Q93WT0, 0.2817481,-1.8275223, 0.0247028, 0.8287124,TRUE,1.23775326455043E-06,2.44064328990226E-06,8.47716701555507E-07,7.68086763080758E-07,6.13714423516382E-06,1.598728841294E-06,4.99690144969539E-06,6.05776977724811E-06
O65457, 6.921932, 2.7911748, 0.046529, 0.9147095,TRUE,7.6169431664642E-07,1.37949403342302E-06,1.05964587694438E-07,9.60108453850947E-07,1.805042422107E-07,0,2.82843478284645E-07,0
P82794, 9.2460294, 3.2088339, 0.0071135, 0.6779731,TRUE,1.90423579161605E-06,1.48560895907094E-06,1.16561046463882E-06,5.76065072310568E-07,2.70756363316051E-07,1.88085746034588E-07,0,9.61550758293351E-08
F4JMQ0, 0.2179146,-2.1981655, 0.0339401, 0.8726714,TRUE,1.90423579161605E-07,0,0,9.60108453850947E-08,1.805042422107E-07,4.70214365086471E-07,4.71405797141075E-07,1.9231015165867E-07
Q9STJ7, 0.4788297,-1.0624153, 0.0022069, 0.5362647,TRUE,3.7132597936513E-06,3.39567762073358E-06,3.07297304313871E-06,2.88032536155284E-06,8.39344726279757E-06,6.48895823819329E-06,5.18546376855182E-06,7.21163068720013E-06
Q9FVI6, ∞, ∞, 0.0423111, 0.9021473,TRUE,0,1.06114925647924E-07,1.05964587694438E-07,1.92021690770189E-07,0,0,0,0
Q8RWE5, 14.8718936, 3.8945165, 0.002523, 0.5487899,TRUE,1.80902400203525E-06,1.91006866166264E-06,9.53681289249946E-07,9.60108453850947E-07,0,9.40428730172941E-08,1.8856231885643E-07,9.61550758293351E-08
F4JU69, 4.7589439, 2.2506414, 0.0169356, 0.7930312,TRUE,2.85635368742407E-07,5.30574628239622E-07,8.47716701555507E-07,5.76065072310568E-07,0,2.82128619051882E-07,1.8856231885643E-07,0
A0A384KHS1, 0.3936615,-1.3449725, 0.0029273, 0.572142,TRUE,5.71270737484815E-07,3.18344776943773E-07,4.23858350777754E-07,6.72075917695663E-07,1.35378181658025E-06,1.50468596827671E-06,1.31993623199501E-06,8.65395682464016E-07
Q67Y55, ∞, ∞, 0.0244756, 0.8277809,TRUE,9.52117895808025E-08,1.06114925647924E-07,0,9.60108453850947E-08,0,0,0,0
Q9SZD2, 2.4578051, 1.2973705, 0.0023504, 0.5283,TRUE,4.06554341510027E-05,3.53362702407588E-05,5.30882584349136E-05,4.68532925479262E-05,2.10287442175466E-05,2.52034899686348E-05,1.63106405810812E-05,9.0385771279575E-06
Q9M0D8, 3.8857226, 1.9581829, 0.0091852, 0.7308088,TRUE,1.99944758119685E-06,2.12229851295849E-06,8.47716701555507E-07,1.53617352616152E-06,6.31764847737452E-07,9.40428730172941E-08,6.59968115997505E-07,2.88465227488005E-07
Q9SZW4, 2.0406527, 1.0290307, 0.0386969, 0.896677,TRUE,1.4948250964186E-05,1.02931477878487E-05,1.0384529594055E-05,7.2968242492672E-06,3.06857211758191E-06,9.12215868267753E-06,4.99690144969539E-06,3.8462030331734E-06
Q9C5T4, 0.4937439,-1.0181652, 0.0002711, 0.3179703,TRUE,3.8084715832321E-06,5.30574628239622E-06,5.93401691088855E-06,6.91278086772682E-06,1.0830254532642E-05,1.09089732700061E-05,1.21622695662397E-05,1.05770583412269E-05
F4JTF6, 0.1457381,-2.7785498, 0.0053053, 0.6474852,TRUE,9.52117895808025E-08,0,0,0,1.805042422107E-07,1.88085746034588E-07,1.8856231885643E-07,9.61550758293351E-08
Q9M080, 2.2328212, 1.1588677, 0.0161591, 0.7881429,TRUE,4.76058947904012E-07,9.5503433083132E-07,1.16561046463882E-06,9.60108453850947E-07,3.61008484421401E-07,4.70214365086471E-07,3.7712463771286E-07,3.84620303317341E-07
O81755, 9.9905214, 3.32056, 0.0086436, 0.7262773,TRUE,2.85635368742407E-07,1.06114925647924E-07,3.17893763083315E-07,1.92021690770189E-07,9.02521211053502E-08,0,0,0
Q8VZE9, 0.4323744,-1.209647, 0.0285279, 0.844625,TRUE,2.96108665596296E-05,4.43560389208324E-05,5.56314085395802E-05,7.69046871534608E-05,8.71835489877683E-05,0.000101190131366608,0.000106726272472739,0.000182502333924078
Q84JK2, 0.4934401,-1.0190532, 0.0117288, 0.7641256,TRUE,1.80902400203525E-06,1.59172388471887E-06,2.22525634158321E-06,2.78431451616775E-06,4.33210181305681E-06,5.26640088896847E-06,2.73415362341823E-06,4.71159871563742E-06
O23180, 0.3022533,-1.7261699, 0.0058396, 0.6562784,TRUE,1.90423579161605E-07,5.30574628239622E-07,2.11929175388877E-07,2.88032536155284E-07,9.02521211053502E-07,9.40428730172941E-07,7.5424927542572E-07,1.44232613744003E-06
AT4G37225, 2.0870695, 1.0614786, 0.0384653, 0.8982569,TRUE,8.56906106227222E-07,5.30574628239622E-07,1.05964587694438E-06,4.80054226925474E-07,3.61008484421401E-07,4.70214365086471E-07,2.82843478284645E-07,2.88465227488005E-07
F4JSU0, 8.5753862, 3.1002017, 0.0114674, 0.7599477,TRUE,1.90423579161605E-07,1.06114925647924E-07,3.17893763083315E-07,1.92021690770189E-07,0,9.40428730172941E-08,0,0
Q9T073, 3.2082638, 1.6817928, 0.0193781, 0.8205136,TRUE,2.85635368742407E-07,3.18344776943773E-07,3.17893763083315E-07,5.76065072310568E-07,9.02521211053502E-08,1.88085746034588E-07,1.8856231885643E-07,0
AT4G09785, ∞, ∞, 0.0244032, 0.8449346,TRUE,0,1.06114925647924E-07,1.05964587694438E-07,9.60108453850947E-08,0,0,0,0
Q0IGM7, 0.4973517,-1.0076617, 0.0123456, 0.765485,TRUE,1.04732968538883E-05,1.55988940702449E-05,5.61612314780523E-06,9.88911707466475E-06,2.05774836120198E-05,1.49528168097498E-05,2.47016637701923E-05,2.33656834265284E-05
O81346, 0.444103,-1.1710338, 0.0263711, 0.839765,TRUE,7.90257853520661E-05,8.34063315592686E-05,7.55527510261346E-05,0.000117517274751356,0.000182399536753913,0.000300561022163272,0.000124262568126387,0.000193271702416964
P93277, ∞, ∞, 0.0463185, 0.9172561,TRUE,9.52117895808025E-08,1.06114925647924E-07,0,1.92021690770189E-07,0,0,0,0
P93292,0,-∞, 0.0464419, 0.9160011,TRUE,0,0,0,0,1.805042422107E-07,9.40428730172941E-08,9.42811594282149E-08,0
P92532_1, 0.1881957,-2.4096943, 0.0242108, 0.8458737,TRUE,0,0,1.05964587694438E-07,0,9.02521211053502E-08,1.88085746034588E-07,1.8856231885643E-07,9.61550758293351E-08
