fromNode,toNode,value,interaction_type,selfLoop,label,guid
Q41975,Q9SXE1,1,,False,,1291
Q41975,F4HYV4,1,,False,,1292
Q41975,F4HYV5,1,,False,,1293
Q41975,Q8LDN8,1,,False,,1294
Q41975,Q9SH42,1,,False,,1295
Q41975,Q9CAC7,1,,False,,1296
Q41975,Q4PSX8,1,,False,,1297
Q41975,Q42059,1,,False,,1298
Q41975,Q9ZPJ8,1,,False,,1299
AT1G04273,Q41975,1,,False,,13
F4HV37,Q41975,1,,False,,130
Q41975,A0A1P8APL7,1,,False,,1300
Q41975,Q9XIQ2,1,,False,,1301
Q41975,Q9S777,1,,False,,1302
Q41975,F4I9U8,1,,False,,1303
Q41975,A0A1P8AR77,1,,False,,1304
Q41975,Q9SS00,1,,False,,1305
Q41975,Q9SRZ4,1,,False,,1306
Q41975,Q9SRZ2,1,,False,,1307
Q41975,Q7X6Y7,1,,False,,1308
Q41975,AT1G08847,1,,False,,1309
Q9C7Z5,Q03250,1,,False,,131
Q41975,F4HQ23,1,,False,,1310
Q41975,Q9FZI2,1,,False,,1311
Q41975,A0A178WEM2,1,,False,,1312
Q41975,AT1G09053,1,,False,,1313
Q41975,AT1G09083,1,,False,,1314
Q41975,Q8RX77,1,,False,,1315
Q41975,Q9M9H0,1,,False,,1316
Q41975,AT1G09287,1,,False,,1317
Q41975,Q5XVG3,1,,False,,1318
Q41975,Q9FNX8,1,,False,,1319
A0A178WPD2,Q41975,1,,False,,132
Q41975,Q9CAI1,1,,False,,1320
Q41975,Q9CAT6,1,,False,,1321
Q41975,Q8RXD5,1,,False,,1322
Q41975,A0A178WCQ2,1,,False,,1323
Q41975,AT1G09423,1,,False,,1324
Q41975,AT1G74205,1,,False,,1325
Q41975,AT1G09513,1,,False,,1326
Q41975,Q9C9P9,1,,False,,1327
Q41975,Q5XVF5,1,,False,,1328
Q41975,Q9SRE7,1,,False,,1329
Q9C748,Q03250,1,,False,,133
Q41975,Q9FVW9,1,,False,,1330
Q41975,Q9CAR0,1,,False,,1331
Q41975,Q8GYM1,1,,False,,1332
Q41975,Q9ZVA5,1,,False,,1333
Q41975,B6EXY6,1,,False,,1334
Q41975,O64538,1,,False,,1335
Q41975,Q9M040,1,,False,,1336
Q41975,Q9SDW0,1,,False,,1337
Q41975,Q9M020,1,,False,,1338
