	class	0.1_0	0.2_0	0.07_0	0.5_0	0.7_0	1_0	0.05_0	0.001_0	0.002_0	0.005_0	0.007_0	0.01_0	0.02_0	Pfam_desc	cor
PF05651	+	0.034	0.052	0.011	0.000	0.125	0.137	0.027	0.000	0.000	0.000	0.000	0.000	0.000	Putative sugar diacid recognition	0.319
PF14267	+	0.002	0.000	0.068	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Domain of unknown function (DUF4357)	0.317
PF03496	+	0.097	0.129	0.065	0.107	0.095	0.149	0.000	0.000	0.000	0.000	0.000	0.000	0.000	ADP-ribosyltransferase exoenzyme	0.317
PF02065	+	0.000	0.032	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Melibiase	0.314
PF02156	+	0.037	0.103	0.000	0.182	0.294	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Glycosyl hydrolase family 26	0.313
PF01869	+	0.000	0.013	0.000	0.107	0.103	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	BadF/BadG/BcrA/BcrD ATPase family	0.310
PF07784	+	0.061	0.037	0.000	0.106	0.120	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Protein of unknown function (DUF1622)	0.309
PF13906	+	0.000	0.000	0.000	0.017	0.061	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	C-terminus of AA_permease	0.301
PF08378	+	0.034	0.054	0.038	0.022	0.018	0.000	0.004	0.000	0.000	0.000	0.000	0.000	0.000	Nuclease-related domain	0.298
PF06182	+	0.000	0.000	0.000	0.000	0.024	0.076	0.000	0.000	0.000	0.000	0.000	0.000	0.000	ABC-2 family transporter protein	0.284
PF02744	+	0.009	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Galactose-1-phosphate uridyl transferase, C-terminal domain	0.283
PF07555	+	0.142	0.259	0.008	0.346	0.351	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	beta-N-acetylglucosaminidase	0.277
PF13592	+	0.000	0.000	0.000	0.000	0.064	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Winged helix-turn helix	0.270
